model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
BAAI/bge-m3,100.0,en,additive,N,0.8594987988471985,0.3837282061576843,160
BAAI/bge-m3,100.0,en,linear,N,0.9164071065677101,0.2372720144984764,160
BAAI/bge-m3,100.0,en,affine,N,0.9167579412460327,0.23709909617900848,160
BAAI/bge-m3,100.0,en,additive,Q,0.9442617297172546,0.14583201706409454,160
BAAI/bge-m3,100.0,en,linear,Q,0.8507468391631298,0.3762581632562435,160
BAAI/bge-m3,100.0,en,affine,Q,0.8522300720214844,0.37197360396385193,160
BAAI/bge-m3,100.0,en,additive,M,0.9822865724563599,0.04808953031897545,160
BAAI/bge-m3,100.0,en,linear,M,0.9499060221539484,0.1324917683683827,160
BAAI/bge-m3,100.0,en,affine,M,0.9499858617782593,0.13272890448570251,160
BAAI/bge-m3,100.0,en,additive,T,0.9453514218330383,0.15245476365089417,160
BAAI/bge-m3,100.0,en,linear,T,0.930804780884916,0.19346333038667135,160
BAAI/bge-m3,100.0,en,affine,T,0.9310779571533203,0.19346943497657776,160
BAAI/bge-m3,100.0,es,additive,N,0.8618721961975098,0.39397329092025757,160
BAAI/bge-m3,100.0,es,linear,N,0.8833576220816848,0.32115268181263834,160
BAAI/bge-m3,100.0,es,affine,N,0.887097954750061,0.3100455105304718,160
BAAI/bge-m3,100.0,es,additive,Q,0.9469982981681824,0.15330453217029572,160
BAAI/bge-m3,100.0,es,linear,Q,0.8776096713927769,0.3401523101157742,160
BAAI/bge-m3,100.0,es,affine,Q,0.8764669299125671,0.34373196959495544,160
BAAI/bge-m3,100.0,es,additive,M,0.9544795155525208,0.1277608871459961,160
BAAI/bge-m3,100.0,es,linear,M,0.8920117357325527,0.2780406659380546,160
BAAI/bge-m3,100.0,es,affine,M,0.8905690908432007,0.28029513359069824,160
BAAI/bge-m3,100.0,es,additive,T,0.9254791140556335,0.22486229240894318,160
BAAI/bge-m3,100.0,es,linear,T,0.8768723839523446,0.32670405436031047,160
