heldout_language,feature,mean_macro_f1,min_macro_f1,max_macro_f1,n
ar,anticyclic_endpoint_mean,0.30290051903712073,0.1002087682672233,0.5183535108011291,7
ar,cyclic_endpoint_mean,0.24943552277554717,0.1,0.4489904795787149,7
ar,delta_concat,0.46860641530531855,0.1476835093011563,0.6647810648743637,7
ar,endpoint_concat,0.28504347148559406,0.1,0.5133910904153401,7
ar,endpoint_mean,0.2648671937262604,0.1107299409186201,0.4618112674420855,7
ar,signed_delta_sum,0.16631171298033973,0.0389147930505876,0.3359072888190075,7
ar,signed_endpoint_sum,0.16631171298033973,0.0389147930505876,0.3359072888190075,7
ar,source_only,0.1,0.1,0.1,7
de,anticyclic_endpoint_mean,0.867181381466129,0.5689877252377252,1.0,7
de,cyclic_endpoint_mean,0.8585185561327969,0.4652976592936024,1.0,7
de,delta_concat,0.9806132301411737,0.8851282051282051,1.0,7
de,endpoint_concat,0.9622681968427035,0.8495783869477836,1.0,7
de,endpoint_mean,0.8667550063090547,0.5498121697216265,1.0,7
de,signed_delta_sum,0.896505323544155,0.5562748113279922,1.0,7
de,signed_endpoint_sum,0.896505323544155,0.5562748113279922,1.0,7
de,source_only,0.1,0.1,0.1,7
en,anticyclic_endpoint_mean,0.9261667175648913,0.7480604611879409,1.0,7
en,cyclic_endpoint_mean,0.9098323896573582,0.7188362624122315,1.0,7
en,delta_concat,0.9959042938073751,0.9843597262952102,1.0,7
en,endpoint_concat,0.997023365400639,0.9895822029300054,1.0,7
en,endpoint_mean,0.9111321342813437,0.7069844376106607,1.0,7
en,signed_delta_sum,0.9836534756340394,0.9638475608822764,1.0,7
en,signed_endpoint_sum,0.9836534756340394,0.9638475608822764,1.0,7
en,source_only,0.1,0.1,0.1,7
es,anticyclic_endpoint_mean,0.8494290883064389,0.6945767031537523,1.0,7
es,cyclic_endpoint_mean,0.8338098718165147,0.6857086117395493,0.9947911014650028,7
es,delta_concat,0.9512097336573763,0.8718718718718719,1.0,7
es,endpoint_concat,0.945645580030427,0.7975186104218362,1.0,7
es,endpoint_mean,0.8517316204944894,0.6913739727569514,0.997395762688875,7
es,signed_delta_sum,0.8246716339882656,0.6328498238677729,0.9895788102475032,7
es,signed_endpoint_sum,0.8246716339882656,0.6328498238677729,0.9895788102475032,7
es,source_only,0.1,0.1,0.1,7
fr,anticyclic_endpoint_mean,0.8174135376039026,0.5059263817207347,0.9947916666666669,7
fr,cyclic_endpoint_mean,0.8706442552710673,0.6784738057785326,0.997395762688875,7
fr,delta_concat,0.970038119412301,0.8635587047801865,1.0,7
fr,endpoint_concat,0.9470531360159166,0.804149295215406,1.0,7
fr,endpoint_mean,0.8504403508554796,0.5642766211458575,0.997395762688875,7
fr,signed_delta_sum,0.810261173530661,0.5637774108975239,0.9947911014650028,7
fr,signed_endpoint_sum,0.810261173530661,0.5637774108975239,0.9947911014650028,7
fr,source_only,0.1,0.1,0.1,7
ru,anticyclic_endpoint_mean,0.6790371492873291,0.3834604994769711,0.8478835978835979,7
ru,cyclic_endpoint_mean,0.6226001123561021,0.3000196662206927,0.8298418026340206,7
ru,delta_concat,0.8055069298616584,0.5484313192905454,0.9895553558509677,7
ru,endpoint_concat,0.7989992249195613,0.604922776975658,1.0,7
ru,endpoint_mean,0.6686650125980533,0.3702767095382494,0.8641555098096232,7
ru,signed_delta_sum,0.5531139293278461,0.1308360027552385,0.9483218822146272,7
ru,signed_endpoint_sum,0.5531139293278461,0.1308360027552385,0.9483218822146272,7
ru,source_only,0.1,0.1,0.1,7
zh,anticyclic_endpoint_mean,0.8407240143742133,0.6215393621650744,0.997395762688875,7
zh,cyclic_endpoint_mean,0.8380575552106343,0.5683982894939583,0.997395762688875,7
zh,delta_concat,0.960397426024456,0.8589022877055331,1.0,7
zh,endpoint_concat,0.9124597584207281,0.7737585148237252,1.0,7
zh,endpoint_mean,0.8498307975038705,0.6455640439730341,1.0,7
zh,signed_delta_sum,0.7180401105661856,0.5197401884142088,0.8571053322826372,7
zh,signed_endpoint_sum,0.7180401105661856,0.5197401884142088,0.8571053322826372,7
zh,source_only,0.1,0.1,0.1,7
