model,heldout_language,method,operator,target_cosine,mse,n_test
BAAI/bge-m3,en,additive,N,0.8594986200332642,0.3837284445762634,160
BAAI/bge-m3,en,linear,N,0.9158186033869404,0.2372058393978045,160
BAAI/bge-m3,en,affine,N,0.9156762957572936,0.2376153916120529,160
BAAI/bge-m3,en,additive,Q,0.94426167011261,0.1458320766687393,160
BAAI/bge-m3,en,linear,Q,0.8581829052398519,0.380123835313478,160
BAAI/bge-m3,en,affine,Q,0.8582269549369812,0.379938542842865,160
BAAI/bge-m3,en,additive,M,0.98228657245636,0.0480894967913627,160
BAAI/bge-m3,en,linear,M,0.9593365478493024,0.1068713274934919,160
BAAI/bge-m3,en,affine,M,0.9593671560287476,0.1068994775414466,160
BAAI/bge-m3,en,additive,T,0.9453513026237488,0.1524547636508941,160
BAAI/bge-m3,en,linear,T,0.9324733243812484,0.1885322341621959,160
BAAI/bge-m3,en,affine,T,0.9328304529190063,0.187550202012062,160
BAAI/bge-m3,es,additive,N,0.8618721961975098,0.3939734399318695,160
BAAI/bge-m3,es,linear,N,0.8639794875094188,0.3781461909767297,160
BAAI/bge-m3,es,affine,N,0.8734208941459656,0.3592683672904968,160
BAAI/bge-m3,es,additive,Q,0.9469982981681824,0.1533045619726181,160
BAAI/bge-m3,es,linear,Q,0.8852171253277845,0.3364789838521522,160
BAAI/bge-m3,es,affine,Q,0.8865140676498413,0.3363756537437439,160
BAAI/bge-m3,es,additive,M,0.9544795155525208,0.1277608126401901,160
BAAI/bge-m3,es,linear,M,0.9102443934529868,0.2343623790765785,160
BAAI/bge-m3,es,affine,M,0.9082557559013368,0.2406144440174102,160
BAAI/bge-m3,es,additive,T,0.9254791140556335,0.2248622924089431,160
BAAI/bge-m3,es,linear,T,0.879129912103437,0.3339312920095741,160
BAAI/bge-m3,es,affine,T,0.8841457366943359,0.3269979953765869,160
BAAI/bge-m3,fr,additive,N,0.8930782079696655,0.2849234640598297,160
BAAI/bge-m3,fr,linear,N,0.8905525233687055,0.291109627361402,160
BAAI/bge-m3,fr,affine,N,0.8917568325996399,0.2875248789787292,160
BAAI/bge-m3,fr,additive,Q,0.915352702140808,0.2388778179883957,160
