model,heldout_language,method,operator,target_cosine,mse,n_test
BAAI/bge-m3,en,additive,N,0.8594986200332642,0.3837284445762634,160
BAAI/bge-m3,en,linear,N,0.9158186033869405,0.23720583939780457,160
BAAI/bge-m3,en,affine,N,0.9156762957572937,0.23761539161205292,160
BAAI/bge-m3,en,additive,Q,0.9442616701126099,0.14583207666873932,160
BAAI/bge-m3,en,linear,Q,0.8581829052398519,0.380123835313478,160
BAAI/bge-m3,en,affine,Q,0.8582269549369812,0.379938542842865,160
BAAI/bge-m3,en,additive,M,0.9822865724563599,0.04808949679136276,160
BAAI/bge-m3,en,linear,M,0.9593365478493023,0.10687132749349193,160
BAAI/bge-m3,en,affine,M,0.9593671560287476,0.10689947754144669,160
BAAI/bge-m3,en,additive,T,0.9453513026237488,0.15245476365089417,160
BAAI/bge-m3,en,linear,T,0.9324733243812483,0.18853223416219592,160
BAAI/bge-m3,en,affine,T,0.9328304529190063,0.18755020201206207,160
BAAI/bge-m3,es,additive,N,0.8618721961975098,0.3939734399318695,160
BAAI/bge-m3,es,linear,N,0.8639794875094188,0.37814619097672975,160
BAAI/bge-m3,es,affine,N,0.8734208941459656,0.3592683672904968,160
BAAI/bge-m3,es,additive,Q,0.9469982981681824,0.1533045619726181,160
BAAI/bge-m3,es,linear,Q,0.8852171253277845,0.33647898385215225,160
BAAI/bge-m3,es,affine,Q,0.8865140676498413,0.3363756537437439,160
BAAI/bge-m3,es,additive,M,0.9544795155525208,0.12776081264019012,160
BAAI/bge-m3,es,linear,M,0.9102443934529869,0.23436237907657853,160
BAAI/bge-m3,es,affine,M,0.9082557559013367,0.24061444401741028,160
BAAI/bge-m3,es,additive,T,0.9254791140556335,0.22486229240894318,160
BAAI/bge-m3,es,linear,T,0.879129912103437,0.33393129200957417,160
BAAI/bge-m3,es,affine,T,0.8841457366943359,0.3269979953765869,160
BAAI/bge-m3,fr,additive,N,0.8930782079696655,0.2849234640598297,160
BAAI/bge-m3,fr,linear,N,0.8905525233687055,0.29110962736140206,160
BAAI/bge-m3,fr,affine,N,0.8917568325996399,0.28752487897872925,160
BAAI/bge-m3,fr,additive,Q,0.9153527021408081,0.2388778179883957,160
BAAI/bge-m3,fr,linear,Q,0.9026317150264156,0.2771373254259335,160
BAAI/bge-m3,fr,affine,Q,0.9034456014633179,0.2751004099845886,160
BAAI/bge-m3,fr,additive,M,0.956037163734436,0.11276869475841522,160
BAAI/bge-m3,fr,linear,M,0.9306814949522988,0.17291730497691893,160
BAAI/bge-m3,fr,affine,M,0.930284321308136,0.17384648323059082,160
BAAI/bge-m3,fr,additive,T,0.9529949426651001,0.12342645972967148,160
BAAI/bge-m3,fr,linear,T,0.923633266659337,0.19835373129093303,160
BAAI/bge-m3,fr,affine,T,0.9251295328140259,0.19444607198238373,160
BAAI/bge-m3,de,additive,N,0.8885701894760132,0.31386974453926086,160
BAAI/bge-m3,de,linear,N,0.8603980071844519,0.36892355477587635,160
BAAI/bge-m3,de,affine,N,0.8656477928161621,0.3591635823249817,160
BAAI/bge-m3,de,additive,Q,0.9180771112442017,0.22288727760314941,160
BAAI/bge-m3,de,linear,Q,0.9053192004254924,0.25588233996556997,160
BAAI/bge-m3,de,affine,Q,0.9061563611030579,0.253653347492218,160
BAAI/bge-m3,de,additive,M,0.9618545770645142,0.10090219974517822,160
BAAI/bge-m3,de,linear,M,0.9301418188874322,0.1745279727639432,160
BAAI/bge-m3,de,affine,M,0.9299415349960327,0.17583756148815155,160
BAAI/bge-m3,de,additive,T,0.9246417880058289,0.21071651577949524,160
BAAI/bge-m3,de,linear,T,0.8907552311778233,0.2979359963163374,160
BAAI/bge-m3,de,affine,T,0.8958246111869812,0.28585514426231384,160
BAAI/bge-m3,ru,additive,N,0.7809358835220337,0.7109678387641907,160
BAAI/bge-m3,ru,linear,N,0.6177005320372395,1.0324942678417819,160
BAAI/bge-m3,ru,affine,N,0.6035279035568237,1.112886667251587,160
BAAI/bge-m3,ru,additive,Q,0.841204047203064,0.5216785073280334,160
BAAI/bge-m3,ru,linear,Q,0.6628293908261215,1.0505259620447638,160
BAAI/bge-m3,ru,affine,Q,0.6569439172744751,1.0939197540283203,160
BAAI/bge-m3,ru,additive,M,0.935832142829895,0.1877458542585373,160
BAAI/bge-m3,ru,linear,M,0.8020296494268904,0.5289092259458938,160
